Active metal,Shape,Electrode support,Particle size (nm),Potential (V vs. RHE),Cation of Electrolyte ,[C] of Cation (M),Anion of Electrolyte ,[C] of anion (M),Membrane,H2,CO,C1,C2+,,DOI
Cu2S,core-shell,glassy carbon,8,-1,K+,0.1,HCO3每,0.1,anion exchange membrane,18.5,1.5,29.3,48.5,,
Cu2S,core-shell,glassy carbon,8,-1.05,K+,0.1,HCO3每,0.1,anion exchange membrane,29.8,0.5,19.8,42.4,,
Cu2S,core-shell,glassy carbon,8,-1.1,K+,0.1,HCO3每,0.1,anion exchange membrane,35.5,0,19.4,46.7,,
Cu2S,core-shell,glassy carbon,8,-1.15,K+,0.1,HCO3每,0.1,anion exchange membrane,41.8,0,6,37.3,,
CuxO,sheet,Cu,100,-0.6,K+,0.1,HCO3每,0.1,proton exchange membrane,36.16,10.74,29.75,23.35,,10.1039/d0gc00247j
CuxO,sheet,Cu,100,-0.7,K+,0.1,HCO3每,0.1,proton exchange membrane,30.79,8.47,28.51,32.03,,
CuxO,sheet,Cu,100,-0.8,K+,0.1,HCO3每,0.1,proton exchange membrane,24.38,5.99,25.21,44.15,,
CuxO,sheet,Cu,100,-0.9,K+,0.1,HCO3每,0.1,proton exchange membrane,15.7,4.75,14.88,64.51,,
CuxO,sheet,Cu,100,-1,K+,0.1,HCO3每,0.1,proton exchange membrane,27.27,4.13,16.94,51.64,,
CuxO,sheet,Cu,100,-1.1,K+,0.1,HCO3每,0.1,proton exchange membrane,41.94,2.89,14.88,39.96,,
CuxO,sheet,Cu,100,-1.2,K+,0.1,HCO3每,0.1,proton exchange membrane,54.34,1.45,11.98,31.88,,
Cu,nanoparticle,Vulcan Carbon,9,-2.2,K+,0.1,HCO3每,0.1,proton exchange membrane,9.77,3.01,45.1,35.14,,10.1016/j.cattod.2016.11.001
Cu,nanoparticle,Vulcan Carbon,9,-2,K+,0.1,HCO3每,0.1,proton exchange membrane,20.48,3.95,44.53,29.88,,
Cu,nanoparticle,Vulcan Carbon,9,-1.8,K+,0.1,HCO3每,0.1,proton exchange membrane,20.86,10.15,24.99,40.02,,
Cu,nanoparticle,Vulcan Carbon,9,-1.6,K+,0.1,HCO3每,0.1,proton exchange membrane,30.25,22.55,7.33,20.11,,
Cu,nanoparticle,Vulcan Carbon,9,-1.4,K+,0.1,HCO3每,0.1,proton exchange membrane,50.92,7.7,1.88,0.38,,
Cu,nanoparticle,reduced graphene oxide,13,-2.2,K+,0.1,HCO3每,0.1,proton exchange membrane,18.33,7.59,30.56,35.4,,
Cu,nanoparticle,reduced graphene oxide,13,-2,K+,0.1,HCO3每,0.1,proton exchange membrane,14.54,4.64,43.62,48.47,,
Cu,nanoparticle,reduced graphene oxide,13,-1.8,K+,0.1,HCO3每,0.1,proton exchange membrane,21.92,6.53,8.85,61.11,,
Cu,nanoparticle,reduced graphene oxide,13,-1.6,K+,0.1,HCO3每,0.1,proton exchange membrane,22.97,8.22,1.26,32.45,,
Cu,nanoparticle,reduced graphene oxide,13,-1.4,K+,0.1,HCO3每,0.1,proton exchange membrane,63.64,23.18,0,1.26,,
Cu,nanoparticle,onion-like carbon,15,-2.2,K+,0.1,HCO3每,0.1,proton exchange membrane,83.75,13,8.46,1.44,,
Cu,nanoparticle,onion-like carbon,15,-2,K+,0.1,HCO3每,0.1,proton exchange membrane,73.02,4.33,9.28,4.13,,
Cu,nanoparticle,onion-like carbon,15,-1.8,K+,0.1,HCO3每,0.1,proton exchange membrane,35.27,18.98,19.8,27.02,,
Cu,nanoparticle,onion-like carbon,15,-1.6,K+,0.1,HCO3每,0.1,proton exchange membrane,32.38,22.07,1.65,14.23,,
Cu,nanoparticle,onion-like carbon,15,-1.4,K+,0.1,HCO3每,0.1,proton exchange membrane,59.61,14.23,0,0,,
Cu,nanocrystal,Cu,4,-1.14,K+,0.1,HCO3每,0.1,proton exchange membrane,44.02,0.49,7.83,40.6,,10.1021/acs.nanolett.0c04703
Cu,nanocrystal,Cu,4,-1.04,K+,0.1,HCO3每,0.1,proton exchange membrane,33.99,1.22,22.01,44.02,,
Cu,nanocrystal,Cu,4,-0.94,K+,0.1,HCO3每,0.1,proton exchange membrane,33.26,5.14,39.86,4.65,,
Cu,nanocrystal,Cu,4,-0.84,K+,0.1,HCO3每,0.1,proton exchange membrane,47.69,10.52,34.24,0,,
Cu,nanocrystal,Cu,4,-0.74,K+,0.1,HCO3每,0.1,proton exchange membrane,56.98,5.38,13.94,0,,
Cu,nanocrystal,Cu,4,-0.64,K+,0.1,HCO3每,0.1,proton exchange membrane,84.38,4.65,17.85,0,,
CuxO,cube,carbon paper,85.3,-0.63,K+,0.1,HCO3每,0.1,ion exchange membrane,38.51,13.37,15.17,36.83,,10.1038/s41467-024-52692-w
CuxO,cube,carbon paper,85.3,-0.78,K+,0.1,HCO3每,0.1,ion exchange membrane,40.46,4.59,37.9,34.59,,
CuxO,cube,carbon paper,85.3,-0.92,K+,0.1,HCO3每,0.1,ion exchange membrane,44.64,3.13,19.05,37.11,,
CuxO,cube,carbon paper,85.3,-1.01,K+,0.1,HCO3每,0.1,ion exchange membrane,44.02,2.89,7.97,43.68,,
CuxO,cube,carbon paper,85.3,-1.1,K+,0.1,HCO3每,0.1,ion exchange membrane,61.92,0.4,0.7,34.11,,
CuxO,nanoparticle,carbon paper,92.9,-0.67,K+,0.1,HCO3每,0.1,ion exchange membrane,61.2,21.76,12.78,1.17,,
CuxO,nanoparticle,carbon paper,92.9,-0.77,K+,0.1,HCO3每,0.1,ion exchange membrane,36.7,9.21,5.88,41.17,,
CuxO,nanoparticle,carbon paper,92.9,-0.89,K+,0.1,HCO3每,0.1,ion exchange membrane,34.28,8.32,8.94,44.39,,
CuxO,nanoparticle,carbon paper,92.9,-1.01,K+,0.1,HCO3每,0.1,ion exchange membrane,55.94,1.51,0.5,40.84,,
CuxO,nanoparticle,carbon paper,92.9,-1.09,K+,0.1,HCO3每,0.1,ion exchange membrane,74.07,0.64,0,26.36,,
Cu,nanoparticle,carbon paper,70,-0.69,K+,0.1,HCO3每,0.1,ion exchange membrane,62.84,15.43,13.11,0.71,,
Cu,nanoparticle,carbon paper,70,-0.81,K+,0.1,HCO3每,0.1,ion exchange membrane,32.52,22.92,19.58,22.97,,
Cu,nanoparticle,carbon paper,70,-0.94,K+,0.1,HCO3每,0.1,ion exchange membrane,33.9,9.59,12.59,38.11,,
Cu,nanoparticle,carbon paper,70,-1.04,K+,0.1,HCO3每,0.1,ion exchange membrane,39.23,1.9,8.97,43.16,,
Cu,nanoparticle,carbon paper,70,-1.12,K+,0.1,HCO3每,0.1,ion exchange membrane,68.22,0.44,0.66,27.75,,
CuxO,nanocrystal,Cu,10,-0.72,K+,0.1,HCO3每,0.1,proton exchange membrane,73.97,5.32,0.46,2.08,,10.1021/jacs.9b11790
CuxO,nanocrystal,Cu,10,-0.87,K+,0.1,HCO3每,0.1,proton exchange membrane,35.23,7.87,0.46,30.46,,
CuxO,nanocrystal,Cu,10,-0.9,K+,0.1,HCO3每,0.1,proton exchange membrane,37.55,4.16,3.54,36.7,,
CuxO,nanocrystal,Cu,10,-1.1,K+,0.1,HCO3每,0.1,proton exchange membrane,28.11,0.88,4.77,60.54,,
CuxO,nanocrystal,Cu,10,-1.05,K+,0.1,HCO3每,0.1,proton exchange membrane,21.66,1.25,2.92,68.3,,
CuxO,nanocrystal,Cu,10,-1.09,K+,0.1,HCO3每,0.1,proton exchange membrane,30.93,0.93,5.23,66.97,,
CuxO,nanocrystal,Cu,10,-1.21,K+,0.1,HCO3每,0.1,proton exchange membrane,31.09,0.93,13.23,57.89,,
Cu(OH)2,needle,Cu,10,-0.72,K+,0.1,HCO3每,0.1,proton exchange membrane,55.93,8.33,0.62,4.73,,
Cu(OH)2,needle,Cu,10,-0.83,K+,0.1,HCO3每,0.1,proton exchange membrane,46.82,8.01,0.31,17.41,,
Cu(OH)2,needle,Cu,10,-0.93,K+,0.1,HCO3每,0.1,proton exchange membrane,36.06,4.4,0.46,42,,
Cu(OH)2,needle,Cu,10,-1,K+,0.1,HCO3每,0.1,proton exchange membrane,29.27,2.73,2.46,49,,
Cu(OH)2,needle,Cu,10,-1.03,K+,0.1,HCO3每,0.1,proton exchange membrane,27.12,1.43,1.54,62.43,,
Cu(OH)2,needle,Cu,10,-1.12,K+,0.1,HCO3每,0.1,proton exchange membrane,30.6,0.93,3.08,58.84,,
Cu(OH)2,needle,Cu,10,-1.17,K+,0.1,HCO3每,0.1,proton exchange membrane,27.12,1.02,2.31,62.43,,
CuxO,cube,carbon paper,112,-0.45,K+,0.5,HCO3每,0.5,anion exchange membrane,36.67,24.01,7.42,26.41,,10.1002/anie.202407748
CuxO,cube,carbon paper,112,-0.55,K+,0.5,HCO3每,0.5,anion exchange membrane,27.06,22.48,9.38,36.67,,
CuxO,cube,carbon paper,112,-0.65,K+,0.5,HCO3每,0.5,anion exchange membrane,23.79,14.84,10.04,48.89,,
CuxO,cube,carbon paper,112,-0.75,K+,0.5,HCO3每,0.5,anion exchange membrane,20.3,10.04,7.2,61.76,,
CuxO,cube,carbon paper,112,-0.85,K+,0.5,HCO3每,0.5,anion exchange membrane,23.79,8.29,6.98,58.49,,
CuxO,cube,carbon paper,112,-0.95,K+,0.5,HCO3每,0.5,anion exchange membrane,30.55,7.2,5.67,54.78,,
CuxO,cube,carbon paper,112,-1.05,K+,0.5,HCO3每,0.5,anion exchange membrane,38.19,5.89,5.89,49.11,,
CuxO,cube,carbon paper,112,-1.15,K+,0.5,HCO3每,0.5,anion exchange membrane,45.4,5.67,4.8,43.21,,
CuxO,cube,carbon paper,112,-1.25,K+,0.5,HCO3每,0.5,anion exchange membrane,51.72,4.58,2.84,39.07,,
Cu,nano-octahedra,glassy carbon,75,-1.15,K+,0.1,HCO3每,0.1,anion exchange membrane,37.85,15.3,36.86,9.04,,10.1039/c9cc02522g
Cu,nano-octahedra,glassy carbon,75,-1.25,K+,0.1,HCO3每,0.1,anion exchange membrane,26.72,1.16,57.95,12.29,,
Cu,nano-octahedra,glassy carbon,75,-1.35,K+,0.1,HCO3每,0.1,anion exchange membrane,41.56,1.16,44.74,4.4,,
Cu,nano-octahedra,glassy carbon,150,-1.15,K+,0.1,HCO3每,0.1,anion exchange membrane,71.69,7.19,17.15,1.39,,
Cu,nano-octahedra,glassy carbon,150,-1.25,K+,0.1,HCO3每,0.1,anion exchange membrane,39.47,3.71,44.74,7.19,,
Cu,nano-octahedra,glassy carbon,150,-1.35,K+,0.1,HCO3每,0.1,anion exchange membrane,60.57,3.25,28.05,1.62,,
Cu,nano-octahedra,glassy carbon,310,-1.15,K+,0.1,HCO3每,0.1,anion exchange membrane,86.53,2.09,2.09,0.93,,
Cu,nano-octahedra,glassy carbon,310,-1.25,K+,0.1,HCO3每,0.1,anion exchange membrane,84.9,1.85,3.94,0.7,,
Cu,nano-octahedra,glassy carbon,310,-1.35,K+,0.1,HCO3每,0.1,anion exchange membrane,65.43,2.55,17.15,1.39,,
CuxO,nanoparticle,Cu,75,-0.64,K+,0.5,HCO3每,0.5,ion exchange membrane,64.1,4.5,27.1,0,,10.1021/jacs.0c00122
CuxO,nanoparticle,Cu,75,-0.84,K+,0.5,HCO3每,0.5,ion exchange membrane,65.5,3.5,19.4,5.2,,
CuxO,nanoparticle,Cu,75,-1.04,K+,0.5,HCO3每,0.5,ion exchange membrane,68.9,2,25,6.9,,
CuxO,nanoparticle,Cu,75,-1.24,K+,0.5,HCO3每,0.5,ion exchange membrane,77.8,0.3,17.1,5.7,,
Cu,nanowire,Cu,25,-0.195,K+,0.1,HCO3每,0.1,anion exchange membrane,63,30,7,0,,10.1021/acscatal.7b03107
Cu,nanowire,Cu,25,-0.295,K+,0.1,HCO3每,0.1,anion exchange membrane,29,62,9,0,,
Cu,nanowire,Cu,25,-0.395,K+,0.1,HCO3每,0.1,anion exchange membrane,30,62,8,0,,
Cu,nanowire,Cu,25,-0.495,K+,0.1,HCO3每,0.1,anion exchange membrane,19,54,25,2,,
Cu,nanowire,Cu,36,-0.495,K+,0.1,HCO3每,0.1,anion exchange membrane,77.02,21.77,16.39,0.45,,
Cu,nanowire,Cu,36,-0.395,K+,0.1,HCO3每,0.1,anion exchange membrane,68.05,24.78,9.11,0,,
Cu,nanowire,Cu,36,-0.295,K+,0.1,HCO3每,0.1,anion exchange membrane,66.52,23.71,4.11,0,,
Cu,nanowire,Cu,36,-0.195,K+,0.1,HCO3每,0.1,anion exchange membrane,89.5,17.46,1.9,0,,
Cu,nanowire,Cu,31,-0.495,K+,0.1,HCO3每,0.1,anion exchange membrane,70.9,12.5,9.37,0.2,,
Cu,nanowire,Cu,31,-0.395,K+,0.1,HCO3每,0.1,anion exchange membrane,76.15,9.91,6.14,0,,
Cu,nanowire,Cu,31,-0.295,K+,0.1,HCO3每,0.1,anion exchange membrane,67.61,7.97,3.67,0,,
Cu,nanowire,Cu,31,-0.195,K+,0.1,HCO3每,0.1,anion exchange membrane,66.3,4.96,7.15,0,,
Cu,nanowire,Cu,47,-0.495,K+,0.1,HCO3每,0.1,anion exchange membrane,87.31,6.03,3.29,0,,
Cu,nanowire,Cu,47,-0.395,K+,0.1,HCO3每,0.1,anion exchange membrane,74.84,3.66,1.65,0,,
Cu,nanowire,Cu,47,-0.295,K+,0.1,HCO3每,0.1,anion exchange membrane,76.81,2.59,0.63,0,,
Cu,nanowire,Cu,47,-0.195,K+,0.1,HCO3每,0.1,anion exchange membrane,73.96,2.59,0,0,,
Cu,nanowire,Cu,54,-0.495,K+,0.1,HCO3每,0.1,anion exchange membrane,87.31,3.02,7.15,0,,
Cu,nanowire,Cu,54,-0.395,K+,0.1,HCO3每,0.1,anion exchange membrane,85.34,2.37,6.52,0,,
Cu,nanowire,Cu,54,-0.295,K+,0.1,HCO3每,0.1,anion exchange membrane,97.37,1.08,4.68,0,,
Cu,nanoparticle,carbon paper,6.7,-0.87,K+,0.1,HCO3每,0.1,anion exchange membrane,61.2,10.5,16.2,12.1,,10.1073/pnas.1711493114
Cu,cube,carbon plate,25,-0.57,K+,0.1,HCO3每,0.1,anion exchange membrane,73.6,15.2,6.4,4.8,,
Cu,cube,carbon plate,25,-0.66,K+,0.1,HCO3每,0.1,anion exchange membrane,56.7,18.2,14.6,10.5,,
Cu,cube,carbon plate,25,-0.75,K+,0.1,HCO3每,0.1,anion exchange membrane,49.3,14.3,13.6,22.7,,
Cu,cube,carbon plate,25,-0.78,K+,0.1,HCO3每,0.1,anion exchange membrane,40.4,9.1,11.3,39.2,,
Cu,cube,carbon plate,25,-0.81,K+,0.1,HCO3每,0.1,anion exchange membrane,35.7,6.6,8.9,48.8,,
Cu,cube,carbon plate,25,-0.86,K+,0.1,HCO3每,0.1,anion exchange membrane,37.5,2,5.3,55.1,,
Cu,cube,carbon plate,25,-0.89,K+,0.1,HCO3每,0.1,anion exchange membrane,40.2,1,12,46.8,,
Cu,cube,carbon plate,25,-0.53,Cs+,0.1,HCO3每,0.1,anion exchange membrane,69.5,20.3,5.1,5,,
Cu,cube,carbon plate,25,-0.57,Cs+,0.1,HCO3每,0.1,anion exchange membrane,54.5,24.3,12.9,8.4,,
Cu,cube,carbon plate,25,-0.62,Cs+,0.1,HCO3每,0.1,anion exchange membrane,42.4,23.2,19.6,14.8,,
Cu,cube,carbon plate,25,-0.66,Cs+,0.1,HCO3每,0.1,anion exchange membrane,41,16.8,18.3,23.9,,
Cu,cube,carbon plate,25,-0.73,Cs+,0.1,HCO3每,0.1,anion exchange membrane,39.5,7.7,10.2,42.6,,
Cu,cube,carbon plate,25,-0.75,Cs+,0.1,HCO3每,0.1,anion exchange membrane,43,3,4.7,49.3,,
Cu,cube,carbon plate,25,-0.79,Cs+,0.1,HCO3每,0.1,anion exchange membrane,52.3,1.6,3.1,43,,
CuxO,nanoparticle,carbon paper,75,-0.229,K+,0.5,HCO3每,0.5,cation exchange membrane,0,0.21,0.63,0,,10.1039/c4cp03172e
CuxO,nanoparticle,carbon paper,75,-0.33,K+,0.5,HCO3每,0.5,cation exchange membrane,15.3,5.24,5.24,0,,
CuxO,nanoparticle,carbon paper,75,-0.428,K+,0.5,HCO3每,0.5,cation exchange membrane,35.01,5.24,5.24,0.84,,
CuxO,nanoparticle,carbon paper,75,-0.528,K+,0.5,HCO3每,0.5,cation exchange membrane,33.12,10.69,10.9,1.47,,
CuxO,nanoparticle,carbon paper,75,-0.629,K+,0.5,HCO3每,0.5,cation exchange membrane,33.96,15.72,15.72,5.03,,
CuxO,nanoparticle,carbon paper,75,-0.727,K+,0.5,HCO3每,0.5,cation exchange membrane,45.91,21.17,21.59,7.13,,
CuxO,nanoparticle,carbon paper,75,-0.828,K+,0.5,HCO3每,0.5,cation exchange membrane,49.9,12.79,13,10.48,,
CuxO,nanoparticle,carbon paper,75,-0.928,K+,0.5,HCO3每,0.5,cation exchange membrane,58.91,10.06,10.69,15.3,,
CuxO,nanoparticle,carbon paper,75,-1.026,K+,0.5,HCO3每,0.5,cation exchange membrane,59.12,6.08,6.5,23.48,,
CuxO,nanoparticle,carbon paper,75,-1.127,K+,0.5,HCO3每,0.5,cation exchange membrane,60.8,5.24,5.87,25.58,,
CuxO,nanoparticle,carbon paper,75,-1.23,K+,0.5,HCO3每,0.5,cation exchange membrane,55.56,4.4,7.55,24.32,,
CuxO,nanoparticle,carbon paper,75,-1.328,K+,0.5,HCO3每,0.5,cation exchange membrane,60.17,1.89,4.61,23.9,,
CuxO,nanoparticle,carbon paper,75,-1.426,K+,0.5,HCO3每,0.5,cation exchange membrane,51.57,1.26,12.16,22.43,,
CuxO,nanoparticle,carbon paper,75,-1.529,K+,0.5,HCO3每,0.5,cation exchange membrane,55.56,1.05,6.08,21.17,,
CuxO,nanoparticle,carbon paper,75,-1.627,K+,0.5,HCO3每,0.5,cation exchange membrane,55.56,0,4.4,20.55,,
CuxO,nanoparticle,carbon paper,75,-1.725,K+,0.5,HCO3每,0.5,cation exchange membrane,61.43,0,4.19,19.92,,
Cu,nanoparticle,carbon paper,160,-0.428,K+,0.5,HCO3每,0.5,cation exchange membrane,88.85,1.44,4.32,0,,
Cu,nanoparticle,carbon paper,160,-0.528,K+,0.5,HCO3每,0.5,cation exchange membrane,84.53,3.24,6.83,0,,
Cu,nanoparticle,carbon paper,160,-0.629,K+,0.5,HCO3每,0.5,cation exchange membrane,68.53,4.86,26.8,0.36,,
Cu,nanoparticle,carbon paper,160,-0.727,K+,0.5,HCO3每,0.5,cation exchange membrane,67.27,7.37,26.44,0.9,,
Cu,nanoparticle,carbon paper,160,-0.828,K+,0.5,HCO3每,0.5,cation exchange membrane,48.02,10.97,32.01,4.68,,
Cu,nanoparticle,carbon paper,160,-0.928,K+,0.5,HCO3每,0.5,cation exchange membrane,45.86,6.12,39.93,5.04,,
Cu,nanoparticle,carbon paper,160,-1.026,K+,0.5,HCO3每,0.5,cation exchange membrane,42.45,2.88,43.53,7.01,,
Cu,nanoparticle,carbon paper,160,-1.127,K+,0.5,HCO3每,0.5,cation exchange membrane,35.97,2.16,53.24,6.29,,
Cu,nanoparticle,carbon paper,160,-1.23,K+,0.5,HCO3每,0.5,cation exchange membrane,31.65,1.44,55.58,6.47,,
Cu,nanoparticle,carbon paper,160,-1.328,K+,0.5,HCO3每,0.5,cation exchange membrane,33.63,0,57.73,9.71,,
Cu,nanoparticle,carbon paper,160,-1.426,K+,0.5,HCO3每,0.5,cation exchange membrane,39.21,0,55.04,5.76,,
Cu,nanoparticle,carbon paper,160,-1.529,K+,0.5,HCO3每,0.5,cation exchange membrane,25.9,0,63.13,5.76,,
Cu,nanoparticle,carbon paper,160,-1.627,K+,0.5,HCO3每,0.5,cation exchange membrane,58.99,0,38.67,3.24,,
Cu,nanoparticle,carbon paper,160,-1.725,K+,0.5,HCO3每,0.5,cation exchange membrane,61.87,0,27.88,5.22,,
Cu,nanowire,Cu,24,-0.195,K+,0.1,HCO3每,0.1,anion exchange membrane,63.58,29.5,7.19,1.71,,10.1021/acs.nanolett.5b03298
Cu,nanowire,Cu,24,-0.295,K+,0.1,HCO3每,0.1,anion exchange membrane,54.74,61.19,8.79,0.7,,
Cu,nanowire,Cu,24,-0.395,K+,0.1,HCO3每,0.1,anion exchange membrane,55.6,61.78,7.5,0.62,,
Cu,nanowire,Cu,24,-0.495,K+,0.1,HCO3每,0.1,anion exchange membrane,54.74,53.25,25.43,2.84,,
Cu,nanowire,Cu,24,-0.595,K+,0.1,HCO3每,0.1,anion exchange membrane,38.36,15.99,30.72,8.47,,
Cu,nanowire,Cu,24,-0.695,K+,0.1,HCO3每,0.1,anion exchange membrane,17.24,4.97,18.05,24.95,,
Cu,nanowire,Cu,24,-0.795,K+,0.1,HCO3每,0.1,anion exchange membrane,23.49,2.49,9.6,26.55,,
Cu,nanowire,Cu,24,-0.895,K+,0.1,HCO3每,0.1,anion exchange membrane,27.8,0.9,3.6,22.97,,
Cu,nanowire,Cu,24,-0.995,K+,0.1,HCO3每,0.1,anion exchange membrane,38.58,0.58,1.37,16.24,,
Cu,nanowire,Cu,73,-0.195,K+,0.1,HCO3每,0.1,anion exchange membrane,93.41,2.95,7.73,10.45,,
Cu,nanowire,Cu,73,-0.295,K+,0.1,HCO3每,0.1,anion exchange membrane,80.68,2.95,13.18,9.09,,
Cu,nanowire,Cu,73,-0.395,K+,0.1,HCO3每,0.1,anion exchange membrane,80.45,2.05,17.27,6.59,,
Cu,nanowire,Cu,73,-0.495,K+,0.1,HCO3每,0.1,anion exchange membrane,77.73,2.95,13.64,5,,
Cu,nanowire,Cu,73,-0.595,K+,0.1,HCO3每,0.1,anion exchange membrane,64.55,6.14,20.68,3.41,,
Cu,nanowire,Cu,73,-0.695,K+,0.1,HCO3每,0.1,anion exchange membrane,89.09,3.18,2.27,0,,
Cu,nanowire,Cu,73,-0.795,K+,0.1,HCO3每,0.1,anion exchange membrane,98.18,2.5,2.73,0.23,,
Cu,nanowire,Cu,73,-0.895,K+,0.1,HCO3每,0.1,anion exchange membrane,88.86,0,0.45,0.91,,
Cu,nanowire,Cu,73,-0.995,K+,0.1,HCO3每,0.1,anion exchange membrane,93.41,0.91,0.45,1.82,,
Cu,nanoparticle,Cu,74,-1.1,K+,0.1,ClO4每,0.1,proton exchange membrane,29.06,33.75,1.01,36.1,,10.1039/c1cp22700a
CuxO,dendritic,Cu,50,-0.4,K+,0.5,HCO3每,0.5,proton exchange membrane,10.5,2.3,39.6,47.6,,10.1038/s41467-019-11599-7
Cu,needle,Cu,150,-1.1,K+,0.1,HCO3每,0.1,proton exchange membrane,26.8,5.3,10.9,57,,
Cu,needle,Cu,150,-1.2,K+,0.1,HCO3每,0.1,proton exchange membrane,29.7,4.9,11.1,54.3,,
Cu,needle,Cu,150,-1.3,K+,0.1,HCO3每,0.1,proton exchange membrane,31.4,4.3,12.2,52.2,,
Cu,needle,Cu,150,-1.4,K+,0.1,HCO3每,0.1,proton exchange membrane,36.3,3.8,12,48,,
Cu,needle,Cu,150,-1.5,K+,0.1,HCO3每,0.1,proton exchange membrane,42.3,3.8,10.8,43.1,,
Cu,needle,Cu,150,-1.6,K+,0.1,HCO3每,0.1,proton exchange membrane,45.5,3.8,10.4,40.3,,
Cu,needle,Cu,150,-1.7,K+,0.1,HCO3每,0.1,proton exchange membrane,47,3.6,10,39.1,,
Cu,nanoparticle,Cu,20,-0.7,K+,0.1,HCO3每,0.1,anion exchange membrane,83.05,1.73,5.06,0,,10.1002/celc.201600068
Cu,nanoparticle,Cu,20,-0.8,K+,0.1,HCO3每,0.1,anion exchange membrane,80.47,4.86,4.54,0.2,,
Cu,nanoparticle,Cu,20,-0.9,K+,0.1,HCO3每,0.1,anion exchange membrane,71.28,6.77,9.89,9.5,,
Cu,nanoparticle,Cu,20,-1,K+,0.1,HCO3每,0.1,anion exchange membrane,68.14,3.74,6.96,12.97,,
Cu,nanoparticle,Cu,20,-1.1,K+,0.1,HCO3每,0.1,anion exchange membrane,56.68,2.92,18.64,15.17,,
