iter	Passed	Remaining
0	62	54669
1	117	51017
2	176	51084
3	233	50555
4	292	50600
5	347	50079
6	401	49585
7	457	49317
8	518	49641
9	587	50571
10	651	50915
11	716	51274
12	780	51485
13	844	51707
14	908	51866
15	973	52000
16	1037	52113
17	1100	52157
18	1165	52281
19	1231	52381
20	1293	52359
21	1351	52143
22	1408	51927
23	1465	51707
24	1521	51473
25	1577	51261
26	1633	51046
27	1689	50854
28	1745	50671
29	1803	50559
30	1862	50465
31	1918	50303
32	1974	50139
33	2029	49965
34	2086	49842
35	2145	49771
36	2203	49671
37	2258	49517
38	2313	49361
39	2368	49208
40	2426	49122
41	2482	48997
42	2539	48902
43	2594	48770
44	2651	48675
45	2707	48551
46	2763	48453
47	2818	48333
48	2874	48220
49	2931	48137
50	2988	48056
51	3043	47939
52	3101	47874
53	3157	47773
54	3215	47699
55	3271	47608
56	3331	47575
57	3388	47492
58	3444	47399
59	3499	47299
60	3555	47209
61	3613	47153
62	3668	47048
63	3723	46956
64	3781	46888
65	3837	46803
66	3894	46728
67	3949	46633
68	4007	46579
69	4062	46482
70	4116	46383
71	4175	46334
72	4233	46277
73	4291	46221
74	4349	46165
75	4406	46089
76	4461	46003
77	4516	45919
78	4571	45834
79	4627	45756
80	4686	45703
81	4743	45643
82	4802	45593
83	4860	45542
84	4922	45519
85	4986	45515
86	5049	45507
87	5114	45507
88	5178	45498
89	5242	45491
90	5310	45520
91	5382	45574
92	5451	45603
93	5516	45601
94	5583	45604
95	5649	45610
96	5715	45605
97	5782	45613
98	5847	45602
99	5914	45598
100	5977	45574
101	6044	45570
102	6109	45553
103	6175	45545
104	6272	45758
105	6338	45747
106	6405	45736
107	6470	45713
108	6534	45682
109	6603	45686
110	6672	45686
111	6738	45665
112	6802	45632
113	6868	45610
114	6934	45586
115	7006	45603
116	7073	45583
117	7138	45553
118	7204	45529
119	7271	45508
120	7337	45480
121	7404	45459
122	7470	45432
123	7536	45402
124	7602	45373
125	7670	45353
126	7735	45319
127	7800	45280
128	7867	45251
129	7932	45212
130	7996	45173
131	8062	45139
132	8129	45110
133	8196	45080
134	8262	45047
135	8331	45028
136	8399	45002
137	8465	44965
138	8530	44924
139	8601	44912
140	8667	44873
141	8733	44833
142	8798	44791
143	8864	44752
144	8931	44719
145	8999	44689
146	9063	44639
147	9127	44588
148	9196	44561
149	9260	44513
150	9326	44470
151	9391	44422
152	9455	44374
153	9523	44340
154	9589	44297
155	9655	44252
156	9721	44212
157	9788	44170
158	9854	44126
159	9920	44085
160	9987	44042
161	10052	43997
162	10120	43958
163	10188	43923
164	10257	43891
165	10323	43843
166	10389	43796
167	10457	43759
168	10523	43712
169	10589	43665
170	10654	43615
171	10721	43570
172	10786	43520
173	10852	43470
174	10914	43409
175	10981	43365
176	11050	43327
177	11115	43274
178	11179	43218
179	11245	43169
180	11310	43116
181	11376	43066
182	11442	43017
183	11509	42974
184	11576	42925
185	11641	42871
186	11708	42826
187	11774	42776
188	11848	42753
189	11915	42708
190	11983	42662
191	12047	42606
192	12112	42549
193	12181	42509
194	12246	42454
195	12311	42399
196	12382	42363
197	12446	42306
198	12513	42256
199	12578	42200
200	12645	42152
201	12714	42107
202	12778	42049
203	12846	42002
204	12910	41942
205	12976	41889
206	13044	41844
207	13111	41792
208	13177	41738
209	13243	41685
210	13310	41635
211	13380	41591
212	13455	41565
213	13519	41507
214	13594	41478
215	13665	41440
216	13765	41488
217	13829	41424
218	13893	41364
219	13961	41313
220	14027	41255
221	14092	41197
222	14158	41142
223	14227	41094
224	14295	41043
225	14359	40982
226	14426	40928
227	14493	40873
228	14558	40813
229	14624	40758
230	14693	40708
231	14761	40657
232	14827	40601
233	14893	40544
234	14959	40484
235	15026	40432
236	15095	40382
237	15165	40335
238	15229	40272
239	15295	40215
240	15360	40154
241	15428	40101
242	15493	40041
243	15558	39980
244	15623	39920
245	15692	39868
246	15760	39816
247	15826	39758
248	15894	39705
249	15962	39651
250	16028	39591
251	16093	39530
252	16159	39472
253	16227	39418
254	16294	39362
255	16360	39303
256	16430	39253
257	16494	39189
258	16561	39133
259	16634	39091
260	16702	39037
261	16770	38980
262	16836	38922
263	16902	38862
264	16968	38802
265	17032	38739
266	17096	38675
267	17162	38616
268	17232	38564
269	17297	38503
270	17361	38437
271	17427	38378
272	17493	38318
273	17559	38258
274	17627	38203
275	17692	38141
276	17759	38083
277	17828	38030
278	17896	37973
279	17964	37917
280	18028	37854
281	18094	37793
282	18160	37731
283	18228	37676
284	18297	37622
285	18362	37560
286	18428	37498
287	18495	37439
288	18559	37374
289	18625	37316
290	18692	37255
291	18758	37196
292	18831	37149
293	18896	37086
294	18960	37021
295	19029	36966
296	19095	36904
297	19161	36843
298	19228	36785
299	19295	36726
300	19362	36666
301	19429	36607
302	19495	36545
303	19562	36486
304	19635	36438
305	19706	36386
306	19775	36330
307	19845	36275
308	19915	36221
309	19980	36158
310	20046	36095
311	20111	36032
312	20175	35968
313	20240	35904
314	20308	35845
315	20373	35782
316	20443	35727
317	20510	35667
318	20574	35602
319	20640	35541
320	20708	35481
321	20774	35420
322	20841	35359
323	20909	35300
324	20974	35237
325	21044	35181
326	21112	35123
327	21178	35060
328	21242	34994
329	21307	34931
330	21377	34875
331	21446	34817
332	21515	34760
333	21583	34702
334	21648	34637
335	21714	34575
336	21779	34511
337	21845	34448
338	21910	34385
339	21978	34325
340	22044	34262
341	22108	34197
342	22174	34134
343	22238	34069
344	22307	34011
345	22375	33951
346	22442	33890
347	22511	33831
348	22577	33768
349	22668	33743
350	22734	33680
351	22799	33615
352	22867	33556
353	22936	33497
354	23007	33441
355	23076	33383
356	23144	33322
357	23208	33256
358	23273	33192
359	23338	33127
360	23405	33065
361	23471	33003
362	23538	32940
363	23602	32874
364	23669	32813
365	23737	32752
366	23802	32688
367	23870	32626
368	23937	32565
369	24003	32501
370	24070	32439
371	24138	32379
372	24206	32319
373	24273	32256
374	24338	32191
375	24405	32129
376	24472	32067
377	24542	32009
378	24608	31946
379	24678	31886
380	24745	31824
381	24810	31760
382	24881	31702
383	24946	31637
384	25013	31575
385	25079	31511
386	25143	31445
387	25209	31381
388	25276	31318
389	25341	31254
390	25406	31189
391	25471	31124
392	25538	31062
393	25606	31000
394	25671	30935
395	25736	30870
396	25802	30806
397	25866	30741
398	25934	30678
399	26002	30617
400	26068	30554
401	26135	30490
402	26198	30424
403	26270	30366
404	26337	30304
405	26404	30241
406	26468	30175
407	26533	30110
408	26601	30048
409	26666	29983
410	26730	29917
411	26798	29855
412	26862	29789
413	26927	29723
414	26993	29660
415	27058	29594
416	27123	29530
417	27191	29468
418	27258	29405
419	27324	29341
420	27392	29279
421	27460	29217
422	27526	29152
423	27593	29090
424	27658	29025
425	27725	28961
426	27790	28896
427	27860	28836
428	27932	28779
429	28000	28716
430	28063	28649
431	28128	28584
432	28196	28522
433	28263	28459
434	28330	28395
435	28396	28331
436	28461	28266
437	28530	28204
438	28596	28140
439	28663	28076
440	28727	28010
441	28794	27947
442	28858	27881
443	28925	27817
444	28991	27753
445	29100	27730
446	29159	27659
447	29217	27587
448	29280	27519
449	29342	27451
450	29405	27384
451	29473	27321
452	29538	27256
453	29602	27189
454	29665	27122
455	29735	27061
456	29824	27018
457	29889	26953
458	29954	26887
459	30020	26822
460	30089	26760
461	30157	26697
462	30224	26633
463	30289	26568
464	30357	26505
465	30422	26439
466	30489	26376
467	30558	26313
468	30623	26248
469	30691	26185
470	30757	26120
471	30826	26058
472	30892	25993
473	30958	25929
474	31025	25865
475	31093	25802
476	31164	25741
477	31229	25676
478	31295	25611
479	31361	25546
480	31426	25481
481	31493	25416
482	31560	25352
483	31624	25286
484	31689	25220
485	31752	25154
486	31820	25090
487	31884	25024
488	31952	24960
489	32017	24894
490	32081	24829
491	32147	24763
492	32215	24700
493	32284	24638
494	32348	24572
495	32413	24506
496	32479	24441
497	32562	24389
498	32645	24337
499	32726	24282
500	32793	24218
501	32858	24153
502	32926	24089
503	32993	24024
504	33061	23961
505	33123	23893
506	33188	23827
507	33255	23763
508	33320	23697
509	33385	23631
510	33450	23565
511	33516	23500
512	33584	23436
513	33650	23371
514	33720	23309
515	33787	23245
516	33855	23181
517	33918	23114
518	33983	23048
519	34046	22981
520	34112	22916
521	34179	22851
522	34246	22787
523	34318	22725
524	34387	22662
525	34454	22598
526	34519	22532
527	34587	22468
528	34652	22402
529	34719	22338
530	34785	22273
531	34854	22210
532	34919	22144
533	34986	22079
534	35053	22014
535	35116	21948
536	35181	21881
537	35247	21816
538	35312	21751
539	35378	21685
540	35444	21620
541	35508	21553
542	35573	21488
543	35641	21424
544	35709	21360
545	35775	21294
546	35842	21230
547	35914	21168
548	35983	21104
549	36053	21041
550	36118	20976
551	36184	20910
552	36250	20845
553	36315	20779
554	36380	20713
555	36444	20647
556	36509	20581
557	36574	20515
558	36642	20451
559	36708	20386
560	36775	20321
561	36841	20256
562	36909	20191
563	36976	20127
564	37044	20063
565	37109	19997
566	37175	19932
567	37241	19866
568	37308	19801
569	37376	19737
570	37441	19671
571	37511	19608
572	37579	19543
573	37645	19478
574	37712	19413
575	37777	19348
576	37844	19283
577	37908	19216
578	37973	19150
579	38039	19085
580	38104	19019
581	38171	18954
582	38235	18888
583	38300	18822
584	38367	18757
585	38439	18694
586	38533	18642
587	38599	18577
588	38666	18512
589	38731	18446
590	38795	18380
591	38860	18314
592	38926	18249
593	38993	18183
594	39060	18118
595	39129	18054
596	39198	17990
597	39262	17923
598	39327	17858
599	39396	17794
600	39463	17729
601	39528	17662
602	39593	17597
603	39658	17531
604	39723	17465
605	39791	17400
606	39856	17334
607	39924	17269
608	39991	17204
609	40057	17139
610	40123	17073
611	40187	17007
612	40255	16942
613	40320	16876
614	40387	16811
615	40452	16745
616	40519	16680
617	40585	16614
618	40655	16551
619	40724	16487
620	40794	16422
621	40860	16357
622	40926	16291
623	40993	16226
624	41057	16160
625	41124	16095
626	41188	16028
627	41254	15963
628	41321	15898
629	41386	15832
630	41449	15765
631	41516	15700
632	41582	15634
633	41647	15568
634	41714	15503
635	41778	15437
636	41844	15371
637	41911	15306
638	41976	15240
639	42041	15174
640	42108	15109
641	42176	15044
642	42244	14979
643	42311	14914
644	42382	14850
645	42447	14784
646	42510	14717
647	42576	14652
648	42693	14603
649	42751	14535
650	42808	14466
651	42871	14400
652	42934	14333
653	42998	14266
654	43061	14200
655	43127	14134
656	43191	14068
657	43257	14002
658	43321	13936
659	43386	13870
660	43451	13804
661	43515	13738
662	43580	13672
663	43647	13606
664	43712	13540
665	43776	13474
666	43845	13409
667	43914	13345
668	43980	13279
669	44046	13213
670	44115	13149
671	44181	13083
672	44249	13018
673	44314	12952
674	44379	12886
675	44445	12820
676	44511	12755
677	44579	12690
678	44648	12625
679	44715	12559
680	44782	12494
681	44846	12428
682	44912	12362
683	44978	12296
684	45043	12230
685	45114	12166
686	45177	12099
687	45244	12034
688	45307	11968
689	45372	11901
690	45437	11836
691	45508	11771
692	45577	11706
693	45646	11641
694	45714	11576
695	45806	11517
696	45874	11452
697	45940	11386
698	46004	11320
699	46069	11254
700	46135	11188
701	46200	11122
