iter	MultiRMSE
0	1.981155464
1	1.962200777
2	1.94625589
3	1.927982061
4	1.911942276
5	1.895749966
6	1.879772047
7	1.863525342
8	1.852062722
9	1.83971761
10	1.825968237
11	1.812008705
12	1.7991144
13	1.783329649
14	1.767790442
15	1.753037712
16	1.739339444
17	1.725314843
18	1.718323577
19	1.707190463
20	1.693039147
21	1.680611354
22	1.668163172
23	1.653660147
24	1.64038187
25	1.62962928
26	1.619286945
27	1.61058293
28	1.599530689
29	1.586948886
30	1.574016662
31	1.564831711
32	1.553321675
33	1.544159389
34	1.538901223
35	1.527620475
36	1.5179943
37	1.509644825
38	1.500499202
39	1.490598516
40	1.482902153
41	1.474043257
42	1.466348171
43	1.460114648
44	1.452009506
45	1.442595987
46	1.433479364
47	1.425308959
48	1.419683472
49	1.411640603
50	1.403859087
51	1.396397253
52	1.392894554
53	1.385239019
54	1.376767106
55	1.371621823
56	1.36412643
57	1.357033096
58	1.349206898
59	1.343569604
60	1.337297518
61	1.331401067
62	1.324093519
63	1.316793306
64	1.311655766
65	1.305859471
66	1.301521295
67	1.295434589
68	1.289793494
69	1.283718369
70	1.279872357
71	1.275734535
72	1.271453306
73	1.266166161
74	1.259719107
75	1.254453542
76	1.248987194
77	1.241752147
78	1.235893461
79	1.232520985
80	1.228770737
81	1.221749915
82	1.215858449
83	1.212010593
84	1.209457597
85	1.203913109
86	1.198030893
87	1.193911283
88	1.188810655
89	1.184529871
90	1.17920366
91	1.175628148
92	1.169504917
93	1.165362829
94	1.16197027
95	1.159521766
96	1.154754144
97	1.151075128
98	1.147409792
99	1.143328463
100	1.139449278
101	1.13445001
102	1.131276396
103	1.127095558
104	1.124555877
105	1.119821723
106	1.116457848
107	1.112239049
108	1.108782047
109	1.103713141
110	1.100532135
111	1.096520301
112	1.091812188
113	1.089322406
114	1.086030187
115	1.082649185
116	1.077984953
117	1.07427671
118	1.070364031
119	1.067348527
120	1.06327573
121	1.058310362
122	1.055491155
123	1.051588784
124	1.049851544
125	1.046501302
126	1.04435492
127	1.04075764
128	1.036829062
129	1.032916141
130	1.029147676
131	1.026806767
132	1.024532634
133	1.020897765
134	1.018760359
135	1.015272967
136	1.012909496
137	1.00900791
138	1.005677406
139	1.003349053
140	0.9999856844
141	0.9984013243
142	0.9960414731
143	0.9933866847
144	0.9899560992
145	0.9881149598
146	0.9855390085
147	0.9828860344
148	0.9810178718
149	0.979615903
150	0.9768547826
151	0.9737549011
152	0.9720406696
153	0.9688549271
154	0.965867102
155	0.9632042724
156	0.9612405727
157	0.9591636363
158	0.9575675971
159	0.9551772276
160	0.9537222008
161	0.9508670991
162	0.9487637467
163	0.9458531945
164	0.9434208668
165	0.9409557087
166	0.9387488533
167	0.9374167903
168	0.9362570246
169	0.9336488711
170	0.9325164432
171	0.9301227877
172	0.9272748547
173	0.9253495355
174	0.922320397
175	0.9204004594
176	0.918291632
177	0.9165178947
178	0.9142150281
179	0.9128356025
180	0.909661024
181	0.9070107496
182	0.9048873049
183	0.9027494758
184	0.900542
185	0.8983048299
186	0.8969335917
187	0.8950893224
188	0.8930295328
189	0.8903065725
190	0.8881311224
191	0.8864749887
192	0.8848199816
193	0.8836459332
194	0.8814875309
195	0.8801116718
196	0.8787701569
197	0.8773780959
198	0.8758930918
199	0.8731468965
200	0.8712627775
201	0.8704026291
202	0.868476936
203	0.8667118299
204	0.8648327604
205	0.8637084596
206	0.8622897726
207	0.860127988
208	0.8588748045
209	0.8566481629
210	0.8544840946
211	0.8531690438
212	0.8523184683
213	0.8509825966
214	0.850139816
215	0.8482218371
216	0.8472484428
217	0.8456280219
218	0.8448342405
219	0.8429437565
220	0.8415478741
221	0.8399133961
222	0.8378036601
223	0.836214395
224	0.8340774089
225	0.8329006974
226	0.8318124078
227	0.8307742293
228	0.8293972035
229	0.8274188896
230	0.8262718737
231	0.8247000784
232	0.8233899443
233	0.8222570258
234	0.8213238508
235	0.8198779542
236	0.8184831333
237	0.8173649143
238	0.8153951585
239	0.8140754635
240	0.8118881661
241	0.8104687297
242	0.8091689902
243	0.8079776611
244	0.8071611341
245	0.8062782292
246	0.8052801576
247	0.8039282819
248	0.8029159093
249	0.8013800088
250	0.7995692564
251	0.7980572181
252	0.7973366139
253	0.7955360695
254	0.7948380962
255	0.7936801239
256	0.7928013392
257	0.791224001
258	0.7895901315
259	0.7885873568
260	0.7872677774
261	0.7861557178
262	0.784091763
263	0.7825819754
264	0.7814917162
265	0.7808382783
266	0.7792461203
267	0.7776768219
268	0.7758140211
269	0.7743596743
270	0.772586565
271	0.7713461334
272	0.7703923114
273	0.7695696653
274	0.7681515559
275	0.766955973
276	0.7664999438
277	0.76560985
278	0.7642245692
279	0.7631024013
280	0.7616151424
281	0.7604453483
282	0.7591118232
283	0.7575501312
284	0.756034825
285	0.7546235876
286	0.7534296151
287	0.7518216366
288	0.7503598588
289	0.748831574
290	0.7482925869
291	0.747164375
292	0.7459242944
293	0.7450137388
294	0.7442638179
295	0.7433581768
296	0.7423828794
297	0.7409819569
298	0.7394960288
299	0.7382122637
300	0.736995397
301	0.7357707567
302	0.7347343706
303	0.7334728542
304	0.7320717836
305	0.7305529445
306	0.729333681
307	0.7282346274
308	0.7273820035
309	0.726177726
310	0.7247861777
311	0.7234732615
312	0.7224184213
313	0.7218448801
314	0.7210851323
315	0.7199282228
316	0.7187229763
317	0.7177325498
318	0.7168537472
319	0.7158865142
320	0.7152136799
321	0.7140760298
322	0.7130297651
323	0.7116823737
324	0.7107552322
325	0.7100374569
326	0.7095333193
327	0.7089120239
328	0.7080002521
329	0.7067527051
330	0.7059767921
331	0.7051657727
332	0.7040521033
333	0.7026370004
334	0.701317433
335	0.7002333366
336	0.6995213835
337	0.6983546076
338	0.6968892401
339	0.6962347362
340	0.6951166983
341	0.694033397
342	0.6929345569
343	0.6921809388
344	0.691575765
345	0.6906958855
346	0.6898127789
347	0.6889310279
348	0.6880706244
349	0.6874210792
350	0.6866701888
351	0.6857854664
352	0.6851620676
353	0.6842822719
354	0.6836318719
355	0.6828094359
356	0.6816603182
357	0.6806683519
358	0.6801826024
359	0.6789944346
360	0.6784041203
361	0.6775174593
362	0.6769160456
363	0.6759223772
364	0.6750506429
365	0.6743027182
366	0.6736890856
367	0.672999728
368	0.671638631
369	0.6707828419
370	0.6700679826
371	0.6691002722
372	0.6682630533
373	0.6676794928
374	0.666401243
375	0.6658107311
376	0.665330729
377	0.66441204
378	0.663421158
379	0.6628092748
380	0.6620873574
381	0.6611593703
382	0.6605677387
383	0.659413491
384	0.6590837401
385	0.6580507785
386	0.6571981186
387	0.6561698018
388	0.6557623703
389	0.654931403
390	0.6539400042
391	0.6533597295
392	0.6527322073
393	0.6524046911
394	0.6515570376
395	0.6509530047
396	0.6505399645
397	0.6498099598
398	0.6490778111
399	0.6482366454
400	0.6476918503
401	0.6467126959
402	0.645956786
403	0.6453035498
404	0.6447136401
405	0.6436495421
406	0.6432060229
407	0.6425650619
408	0.6417291002
409	0.6413760543
410	0.6409505624
411	0.6401030783
412	0.6391075013
413	0.6381739343
414	0.6375579035
415	0.6367750023
416	0.6358913421
417	0.6349733986
418	0.6341024913
419	0.6336530557
420	0.6329979507
421	0.6324418906
422	0.631231199
423	0.6302661288
424	0.6294940187
425	0.628783249
426	0.6278273531
427	0.6271457022
428	0.6264082336
429	0.6254236537
430	0.6245999151
431	0.623571453
432	0.6228472949
433	0.6226161535
434	0.6215663531
435	0.6209126008
436	0.620509418
437	0.619918325
438	0.6190652234
439	0.618875795
440	0.6180624095
441	0.6174982143
442	0.6169977113
443	0.6160127862
444	0.6154598261
445	0.6148770432
446	0.6140989236
447	0.6134918036
448	0.6128779528
449	0.6123836322
450	0.6119318455
451	0.6115806409
452	0.6110091858
453	0.6106170453
454	0.6102672965
455	0.6096115442
456	0.6091185879
457	0.6082547553
458	0.6075957257
459	0.6068013395
460	0.6065314342
461	0.6056648393
462	0.6050442626
463	0.6043555243
464	0.6036888805
465	0.6031955292
466	0.602343433
467	0.6015666743
468	0.6009976508
469	0.600721098
470	0.6001672372
471	0.5992965955
472	0.59862875
473	0.5979818597
474	0.597101007
475	0.5964927385
476	0.5957527684
477	0.5951413705
478	0.5946238735
479	0.593873322
480	0.5933780874
481	0.5928248003
482	0.5924960683
483	0.5917478185
484	0.5915009878
485	0.5906940311
486	0.5897937286
487	0.5887302759
488	0.5885592615
489	0.5881796049
490	0.5875135505
491	0.5872402219
492	0.5869527174
493	0.586561652
494	0.5855767783
495	0.5850587342
496	0.5843632135
497	0.5838502279
498	0.5834944056
499	0.5831342504
500	0.5825790835
501	0.5821069463
502	0.5816731062
503	0.5814453084
504	0.5805295744
505	0.5800009226
506	0.5795258404
507	0.5786214748
508	0.5782320692
509	0.5777686878
510	0.5775729804
511	0.5773481183
512	0.5768761232
513	0.5763643152
514	0.5760087061
515	0.5755772796
516	0.575029946
517	0.5744482219
518	0.5741209036
519	0.5733755047
520	0.572678841
521	0.5722932803
522	0.5719088989
523	0.5715276114
524	0.5706218993
525	0.5701065828
526	0.5695292905
527	0.5689763175
528	0.5681288056
529	0.5672897906
530	0.5667657639
531	0.5665411683
532	0.5657007192
533	0.5651635327
534	0.5646755607
535	0.5642333861
536	0.5635545228
537	0.5629901248
538	0.5627105418
539	0.5620828923
540	0.5617311226
541	0.5611549833
542	0.5608068729
543	0.5605009101
544	0.559720502
545	0.5593638007
546	0.5588988502
547	0.5587304742
548	0.5579619467
549	0.5572495787
550	0.5565295671
551	0.556148663
552	0.555884587
553	0.5551870607
554	0.5548564141
555	0.5543610916
556	0.5539764137
557	0.5536268452
558	0.5531602061
559	0.5530016187
560	0.5526110477
561	0.552118063
562	0.5514808113
563	0.5511173428
564	0.5506133147
565	0.5501573269
566	0.549937604
567	0.5492866031
568	0.5488127491
